Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,NEW_SMILES
CHEMBL2336409,,0,461.53,1,5.65,"4, SGI-1027",Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',11220.0,nM,4.95,,,UO_0000065,10.73,0.19,-0.7,4.2,0,CHEMBL2344707,Inhibition of human DNMT1 using AdoMet and poly dI-dC after 2 hrs by radioactive assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2331328,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013.0,None,,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL1916683,,0,261.28,0,1.45,8i,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1,IC50,'=',310000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL1918223,Inhibition of human recombinant DNMT1 expressed in Sf9 cells assessed as incorporation of [3H]S-adenosyl methionine into hemimethylated oligonucleotide substrate after 3 hrs by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1914404,1,Scientific Literature,J. Med. Chem.,2011.0,CHEMBL3308860,,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1
CHEMBL3109075,,0,398.46,0,4.48,"16 (2S,3R)",O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,IC50,'=',128000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3111348,Inhibition of human recombinant DNMT1 expressed in H19 cells assessed as inhibition of tritiated methyl incorporation from [3H]-labeled AdoMet into hemimethylated DNA duplex after 2 hrs by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,H19,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3108732,1,Scientific Literature,J. Med. Chem.,2014.0,None,,O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1
CHEMBL3109080,,0,351.38,0,3.19,5,O=C(O)[C@H](Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O,IC50,'=',230000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3111348,Inhibition of human recombinant DNMT1 expressed in H19 cells assessed as inhibition of tritiated methyl incorporation from [3H]-labeled AdoMet into hemimethylated DNA duplex after 2 hrs by liquid scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,H19,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3108732,1,Scientific Literature,J. Med. Chem.,2014.0,None,,O=C(O)C(Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O
CHEMBL3126645,,0,461.53,1,5.65,4,Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1,IC50,'=',265000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL3129169,Inhibition of human N-terminal 600 residues-deleted DNMT1 using hemimethylated (GAC)12 as substrate preincubated for 5 mins followed by substrate addition measured after 15 mins by liquid scintillation counting analysis in presence of [methyl-3H]-AdoMet,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3124813,1,Scientific Literature,J. Med. Chem.,2014.0,None,,Cc1cc(=Nc2ccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)cc2)[nH]c(=N)[nH]1
CHEMBL1361703,,0,416.43,0,3.98,SID89851678,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',7110.0,nM,5.15,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12
CHEMBL1322848,,0,406.53,0,2.39,SID85269444,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,IC50,'=',11300.0,nM,4.95,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1
CHEMBL1373655,,0,322.32,0,3.34,SID14727861,CC1=NN(c2cccc(C(=O)O)c2)C(=O)/C1=C\C=C\c1ccco1,IC50,'=',1180.0,nM,5.93,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1
CHEMBL1529285,,0,464.52,1,5.15,SID24787907,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,IC50,'=',10100.0,nM,5.0,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1
CHEMBL1301673,,0,422.49,0,2.28,SID26660223,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1,IC50,'=',3250.0,nM,5.49,,active,UO_0000065,,,,,0,CHEMBL1963910,PUBCHEM_BIOASSAY: Dose response confirmation of DNMT1 inhibitors in a Fluorescent Molecular Beacon assay. (Class of assay: confirmatory) ,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,None,,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1
