molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL4170225,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)[nH]3)nc2cc1OCCCN1CCCC1,c1c[nH]c(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,0.5,nM,9.301029995663981,4.92,6.0,2.0,477.65,0.0,65.65,35.0,CHEMBL4130634
CHEMBL4162206,COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,0.7,nM,9.154901959985743,6.44,6.0,1.0,508.75,2.0,49.86,37.0,CHEMBL4130634
CHEMBL3109639,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,C1=Nc2cc(OCCCN3CCCC3)ccc2C1,0.9,nM,9.045757490560675,2.84,5.0,1.0,317.43,0.0,60.08,23.0,CHEMBL3108684
CHEMBL3109631,COc1cc2c(cc1OCC1CCN(C)C1)N=C(N)C21CCC1,C1=Nc2cc(OCC3CCNC3)ccc2C12CCC2,1.0,nM,9.0,2.45,5.0,1.0,315.42,0.0,60.08,23.0,CHEMBL3108684
CHEMBL1829295,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCC1,2.0,nM,8.698970004336019,4.71,9.0,1.0,567.82,1.0,69.23,41.0,CHEMBL1828613
CHEMBL4159604,COc1cc2c(NC3CCN(C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,2.0,nM,8.698970004336019,5.66,6.0,1.0,480.70,1.0,49.86,35.0,CHEMBL4130634
CHEMBL4160008,CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2.0,nM,8.698970004336019,5.44,7.0,1.0,492.66,1.0,63.00,36.0,CHEMBL4130634
CHEMBL4173626,CCc1ccc(-c2cc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,3.0,nM,8.522878745280337,6.22,7.0,1.0,520.72,2.0,63.00,38.0,CHEMBL4130634
CHEMBL3109630,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,3.0,nM,8.522878745280337,2.98,5.0,1.0,329.44,0.0,60.08,24.0,CHEMBL3108684
CHEMBL4171233,COc1cc2c(NC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,3.0,nM,8.522878745280337,5.96,7.0,1.0,506.69,2.0,63.00,37.0,CHEMBL4130634
CHEMBL4795328,CNc1cc(C)nc(Nc2ccc(OC(F)F)c(C3=CCNCCC3)c2)n1,C1=C(c2cccc(Nc3ncccn3)c2)CCCNC1,3.25,nM,8.488116639021126,3.94,6.0,3.0,375.42,0.0,71.10,27.0,CHEMBL4725338
CHEMBL3109637,COc1cc2c(cc1OCCCN1CC[C@@H](F)C1)N=C(N)C21CCC1,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,3.7,nM,8.431798275933005,2.93,5.0,1.0,347.43,0.0,60.08,25.0,CHEMBL3108684
CHEMBL4287479,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN1CCCCC1,c1cc2c(NC3CCNCC3)nc(N3CCNCC3)nc2cc1OCCCN1CCCCC1,4.0,nM,8.397940008672037,3.93,9.0,1.0,539.77,1.0,69.23,39.0,CHEMBL4261502
CHEMBL1829305,COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,c1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCCC1,4.0,nM,8.397940008672037,6.27,9.0,1.0,635.94,2.0,69.23,46.0,CHEMBL1828613
CHEMBL4865830,COc1cc2c(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(C)nc2cc1OCCCN1CCCC1,c1cnc(N2CCC(CNc3ccnc4cc(OCCCN5CCCC5)ccc34)CC2)nc1,4.0,nM,8.397940008672037,3.65,10.0,3.0,549.68,1.0,124.97,40.0,CHEMBL4834403
CHEMBL4741874,CNc1cc(C)nc(Nc2ccc(OC)c(C3=CCNCCC3)c2)n1,C1=C(c2cccc(Nc3ncccn3)c2)CCCNC1,4.31,nM,8.365522729839268,3.35,6.0,3.0,339.44,0.0,71.10,25.0,CHEMBL4725338
CHEMBL3109634,COc1cc2c(cc1OCCCN1CC(F)C1)N=C(N)C21CCC1,C1=Nc2cc(OCCCN3CCC3)ccc2C12CCC2,4.8,nM,8.318758762624412,2.54,5.0,1.0,333.41,0.0,60.08,24.0,CHEMBL3108684
CHEMBL4211688,CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NCC3C4CCC3CNC4)c3ccc(OCCCN4CCCC4)cc3n2)c1,5.0,nM,8.301029995663981,5.93,7.0,1.0,532.73,2.0,63.00,39.0,CHEMBL4190398
CHEMBL1829294,CCN1CCCN(c2nc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)CC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCC1,5.0,nM,8.301029995663981,4.32,9.0,1.0,553.80,1.0,69.23,40.0,CHEMBL1828613
CHEMBL3109632,COc1cc2c(cc1OCC1CCCN1C)N=C(N)C21CCC1,C1=Nc2cc(OCC3CCCN3)ccc2C12CCC2,5.0,nM,8.301029995663981,2.59,5.0,1.0,315.42,0.0,60.08,23.0,CHEMBL3108684
CHEMBL4163329,COc1cc2c(NC3CCNCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,6.0,nM,8.221848749616356,4.84,7.0,2.0,464.61,0.0,71.79,34.0,CHEMBL4130634
CHEMBL1829304,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,c1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCCC1,6.0,nM,8.221848749616356,6.02,9.0,1.0,621.91,2.0,69.23,45.0,CHEMBL1828613
CHEMBL4163369,COc1cc2c(NC3CCN(C)CC3)cc(C)nc2cc1OCCCN1CCCC1,c1cc(NC2CCNCC2)c2ccc(OCCCN3CCCC3)cc2n1,6.0,nM,8.221848749616356,3.92,6.0,1.0,412.58,0.0,49.86,30.0,CHEMBL4130634
CHEMBL4173668,COc1cc2c(NC3CCN(C)CC3)cc(C3=CCCCC3)nc2cc1OCCCN1CCCC1,C1=C(c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)CCCC1,6.0,nM,8.221848749616356,5.57,6.0,1.0,478.68,1.0,49.86,35.0,CHEMBL4130634
CHEMBL4458252,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCCC2,6.0,nM,8.221848749616356,3.37,5.0,1.0,343.47,0.0,60.08,25.0,CHEMBL4321817
CHEMBL4756618,CNc1cc(C)nc(Nc2ccc(Cl)c(C3=CCNCCC3)c2)n1,C1=C(c2cccc(Nc3ncccn3)c2)CCCNC1,6.32,nM,8.199282921717614,3.99,5.0,3.0,343.86,0.0,61.87,24.0,CHEMBL4725338
CHEMBL4204482,COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4(CCNCC4)C3)c3ccc(OCCCN4CCCC4)cc3n2)c1,7.0,nM,8.154901959985743,6.74,7.0,1.0,546.76,2.0,63.00,40.0,CHEMBL4190398
CHEMBL4173662,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccoc3)nc2cc1OCCCN1CCCC1,c1cc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)co1,7.0,nM,8.154901959985743,4.87,7.0,1.0,464.61,0.0,63.00,34.0,CHEMBL4130634
